Table Name(1),State Code (2),District Code(3),Tehsil Code  (4),Town  Code (5),Area Name (6),Total/ Rural/ Urban(7),Total number of households (8),Total number of households availing banking services  (9),"Availability of assets Radio/
Transistor (10)",Availability of assets Television (11),Availability of assets Computer/Laptop With Internet (12),Availability of assets Computer/Laptop Without Internet (13),Availability of assets Telephone/Mobile PhoneLandline only (14),Availability of assets Telephone/Mobile Phone Mobile only (15),Availability of assets Telephone/Mobile Phone Both (16),Availability of assets Bicycle (17),Availability of assets Scooter/ Motorcycle/Moped (18),Availability of assets Car/ Jeep/Van (19),"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car (20)",Availability of assets None of the assets specified in col.(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,004,00015,000000,Sub-District - Zanskar,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00000,000000,District - Punch,Total,88878,61284,37412,16022,346,2996,1908,31773,2677,846,2407,1731,276,33011,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00000,000000,District - Punch,Rural,81670,54716,33599,10897,220,2695,1491,28139,1660,493,1384,1103,111,32243,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00000,000000,District - Punch,Urban,7208,6568,3813,5125,126,301,417,3634,1017,353,1023,628,165,768,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00016,000000,Sub-District - Haveli,Total,25204,18949,11424,7046,150,671,910,8232,1208,560,1445,735,174,8450,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00016,000000,Sub-District - Haveli,Rural,20332,14426,8839,2962,47,467,549,5835,389,241,525,262,28,8126,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00016,000000,Sub-District - Haveli,Urban,4872,4523,2585,4084,103,204,361,2397,819,319,920,473,146,324,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00016,800062,Punch (M Cl),Urban,4872,4523,2585,4084,103,204,361,2397,819,319,920,473,146,324,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00017,000000,Sub-District - Mandi,Total,15550,12605,6548,765,20,324,135,3456,140,31,135,115,7,7223,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00017,000000,Sub-District - Mandi,Rural,15550,12605,6548,765,20,324,135,3456,140,31,135,115,7,7223,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00017,000000,Sub-District - Mandi,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00018,000000,Sub-District - Mendhar,Total,25111,15341,9206,4825,117,1040,627,10594,807,152,456,456,51,9345,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00018,000000,Sub-District - Mendhar,Rural,24201,14555,8806,4625,112,1004,615,10177,796,151,451,451,51,9039,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00018,000000,Sub-District - Mendhar,Urban,910,786,400,200,5,36,12,417,11,1,5,5,NA,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00018,001233,Naka Majiari (CT),Urban,910,786,400,200,5,36,12,417,11,1,5,5,NA,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00019,000000,Sub-District - Surankote,Total,23013,14389,10234,3386,59,961,236,9491,522,103,371,425,44,7993,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00019,000000,Sub-District - Surankote,Rural,21587,13130,9406,2545,41,900,192,8671,335,70,273,275,25,7855,,,,,,,,,,,,,,,,,,,,,,,,,,,
